"user_travel_id";"is_liked";"is_visited";"is_wishlisted";"travel_id";"user_email"
1;"1";"0";"0";6701;"spacekay@kakao.com"
2;"1";"0";"0";7853;"spacekay@kakao.com"
3;"1";"0";"0";6951;"spacekay@kakao.com"
4;"1";"0";"0";4759;"spacekay@kakao.com"
5;"1";"0";"0";3274;"spacekay@kakao.com"
6;"1";"0";"0";6441;"spacekay@kakao.com"
7;"1";"0";"0";5028;"spacekay@kakao.com"
8;"0";"0";"0";5234;"spacekay@kakao.com"
9;"1";"0";"0";3848;"spacekay@kakao.com"
10;"1";"0";"0";6954;"spacekay@kakao.com"
11;"1";"0";"0";4391;"spacekay@kakao.com"
12;"1";"0";"0";8149;"mynew@gmail.com"
14;"1";"0";"0";8912;"mynew@gmail.com"
15;"1";"0";"0";1070;"mynew@gmail.com"
16;"1";"0";"0";2550;"mynew@gmail.com"
17;"1";"0";"0";5695;"kskyo1775@gmail.com"
18;"1";"0";"0";8886;"kskyo1775@gmail.com"
19;"1";"0";"0";3915;"kskyo1775@gmail.com"
20;"1";"0";"0";7076;"kskyo1775@gmail.com"
21;"1";"0";"0";5123;"kskyo1775@gmail.com"
22;"1";"0";"0";3341;"kskyo1775@gmail.com"
23;"1";"0";"0";5767;"kskyo1775@gmail.com"
24;"1";"0";"0";773;"kskyo1775@gmail.com"
25;"1";"0";"0";1170;"kskyo1775@gmail.com"
26;"0";"0";"0";3771;"kskyo1775@gmail.com"
27;"1";"0";"0";5375;"kskyo1775@gmail.com"
28;"1";"0";"0";1061;"kskyo1775@gmail.com"
29;"1";"0";"0";6698;"kskyo1775@gmail.com"
30;"1";"0";"0";10076;"[[${userEmail}]]"
31;"1";"0";"0";9258;"[[${userEmail}]]"
32;"1";"0";"0";8335;"[[${userEmail}]]"
33;"1";"0";"0";9993;"[[${userEmail}]]"
34;"1";"0";"0";9618;"[[${userEmail}]]"
35;"1";"0";"0";8213;"[[${userEmail}]]"
36;"1";"0";"0";5143;"renren@love.com"
37;"1";"0";"0";9258;"renren@love.com"
38;"1";"0";"0";5527;"incheon@airport.go.kr"
39;"1";"0";"0";3101;"incheon@airport.go.kr"
40;"1";"0";"0";10118;"incheon@airport.go.kr"
41;"1";"0";"0";5329;"incheon@airport.go.kr"
42;"1";"0";"0";8217;"incheon@airport.go.kr"
43;"1";"0";"0";9084;"incheon@airport.go.kr"
44;"1";"0";"0";8182;"incheon@airport.go.kr"
45;"1";"0";"0";9107;"incheon@airport.go.kr"
46;"1";"0";"0";8184;"incheon@airport.go.kr"
47;"1";"0";"0";693;"incheon@airport.go.kr"
48;"1";"0";"0";8760;"incheon@airport.go.kr"
49;"1";"0";"0";8186;"incheon@airport.go.kr"
50;"1";"0";"0";2842;"incheon@airport.go.kr"
51;"1";"0";"0";3590;"incheon@airport.go.kr"
52;"1";"0";"0";2385;"incheon@airport.go.kr"
53;"1";"0";"0";3669;"incheon@airport.go.kr"
54;"1";"0";"0";8453;"incheon@airport.go.kr"
55;"1";"0";"0";1234;"incheon@airport.go.kr"
56;"1";"0";"0";8185;"incheon@airport.go.kr"
58;"1";"0";"0";4371;"profile@pic.com"
59;"1";"0";"0";6595;"profile@pic.com"
60;"1";"0";"0";3959;"profile@pic.com"
61;"1";"0";"0";8912;"profile@pic.com"
62;"1";"0";"0";8580;"profile@pic.com"
63;"1";"0";"0";8859;"profile@pic.com"
64;"1";"0";"0";6854;"profile@pic.com"
65;"1";"0";"0";8528;"profile@pic.com"
66;"1";"0";"0";6061;"profile@pic.com"
67;"1";"0";"0";5565;"profile@pic.com"
68;"1";"0";"0";5565;"profile2@pic.com"
69;"1";"0";"0";6289;"profile2@pic.com"
70;"1";"0";"0";2782;"profile2@pic.com"
